restaurant,Food_Items,food_category,food_sub_category
Taco Bell,Gordita Supreme® - Chicken,Other,Other
Taco Bell,Gordita Supreme® - Steak,Other,Other
Taco Bell,Nacho Fries Bellgrande,Side,Other
Taco Bell,Nachos BellGrande®,Other,Other
Taco Bell,Nachos Supreme,Other,Other
Taco Bell,Triple Layer Nachos,Other,Other
Taco Bell,Triple Melt Nachos,Other,Other
Taco Bell,Beefy Cheddar Crunchwrap Slider,Main,"Beef, Other"
Taco Bell,Beefy Mini Quesadilla,Main,"Beef, Other"
Taco Bell,Beefy Nacho Griller,Main,"Beef, Other"
Taco Bell,BLT Crunchwrap Slider,Other,Other
Taco Bell,Cantina Power Bowl - Chicken,Other,Other
Taco Bell,Cantina Power Bowl - Steak,Other,Other
Taco Bell,Cantina Power Bowl - Veggie,Other,Other
Taco Bell,Cheese Quesadilla,Other,Other
Taco Bell,Cheese Roll-Up,Other,Other
Taco Bell,Chicken Quesadilla,Other,Other
Taco Bell,Chickstar,Other,Other
Taco Bell,Chili Cheese Burrito,Other,Other
Taco Bell,Chipotle Crispy Chicken Griller,Other,Other
Taco Bell,Crispy Chicken Quesadilla,Other,Other
Taco Bell,Crunchwrap Supreme®,Other,Other
Taco Bell,Double Tostada,Other,Other
Taco Bell,Express Taco Salad w/ Chips,Main,Other
Taco Bell,Loaded Potato Griller,Other,Other
Taco Bell,Mexican Pizza,Other,Other
Taco Bell,MexiMelt®,Other,Other
Taco Bell,Steak Quesalupa,Other,Other
Taco Bell,Chicken Quesalupa,Other,Other
Taco Bell,Beef Quesalupa,Main,"Beef, Other"
Taco Bell,Shredded Chicken Mini Quesadilla,Other,Other
Taco Bell,Spicy Chicken Crunchwrap Slider,Other,Other
Taco Bell,Spicy Tostada,Other,Other
Taco Bell,Stacker,Other,Other
Taco Bell,Steak Quesadilla,Other,Other
Taco Bell,Original Triple Double Crunchwrap,Other,Other
Taco Bell,Spicy Triple Double Crunchwrap,Other,Other
Taco Bell,Express Taco Salad w/ Chips,Main,Other
Taco Bell,Fiesta Taco Salad-Beef,Main,"Beef, Other"
Taco Bell,Fiesta Taco Salad-Chicken,Main,"Chicken, Other"
Taco Bell,Fiesta Taco Salad-Steak,Main,Other
